"Alert Email Sender","提醒邮件的发件人"
"Alert subscription was deleted successfully","成功删除订阅提醒邮件"
"Alert subscription was saved successfully","成功保存订阅提醒邮件"
"Allow alert when product comes back in stock","允许有库存时提醒"
"Allow alert when product price changes","允许价格变化时提醒"
"Click here not to receive alerts for this product","点这里取消接收本商品提醒"
"Error Email Recipient","错误邮件的收件人"
"Error Email Sender","错误邮件的发件人"
"Error Email Template","错误邮件的模板"
"Frequency","频率"
"Not enough parameters","没有足够的参数"
"Please try again later","请稍后再试"
"Price alert Email Template","价格提醒邮件的模板"
"Price:","价格："
"Product Alerts","商品提醒"
"Product Alerts Run Settings","商品提醒的设置"
"Product alerts Cron error","商品提醒定时作业错误"
"Product not found","商品未找到"
"Product price alert","降价提醒"
"Product stock alert","商品库存提醒"
"Regular Price:","普通价格:"
"Sign up for price alert","降价提醒"
"Sign up to get notified when this product is back in stock","到货通知"
"Special price:","特价："
"Start Time","开始时间"
"Stock alert Email Template","库存提醒邮件的模板"
"Unsubscribe from all price alerts","退订所有价格提醒"
"Unsubscribe from all stock alerts","退订所有库存提醒"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","您接收到本邮件是因为订阅了以下商品有库存时的提醒："
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","您接收到本邮件是因为订阅了以下商品价格变化的提醒："
"You will no longer receive price alerts for this product","您不会再收到该商品的价格提醒"
"You will no longer receive stock alerts","您不会再收到库存提醒"
"You will no longer receive stock alerts for this product","您不会再收到该商品的库存提醒"
"Cancel price alert","取消降价提醒"
"Cancel stock alert","取消到货提醒"
