"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Rating","增加新的评级"
"Assigned Options","指定选项"
"Be the first to review this product","第一个给该商品发表评论"
"Default Value","默认值"
"Delete Rating","删除评级"
"Edit Rating","修改评级"
"ID","编号"
"If you do not specify a rating title for a store, the default value will be used.","如果没有给商店输入评级名称，将采用默认值。"
"Manage Ratings","管理评级"
"New Rating","新的评级"
"Option Label","选项标记"
"Option Title","选项标题"
"Option Title:","选项标题："
"Please select one of each ratings above","请在上面选择一个评级"
"Rating Information","评级内容"
"Rating Name","评级名称"
"Rating Options","评级选项"
"Rating Title","评级标题"
"Rating Visibility","评级可见性"
"Rating isn't Available","评级不可见"
"Rating with the same title","评级标题重复"
"Save Rating","保存评级"
"Visible In","可见于"
