"Message Manages","咨询管理"
"Pending Messages","待审留言"
"All Messages","所有留言"
"ID","编号"
"Created On","创建日期"
"Status","状态"
"Title","标题"
"Nickname","昵称"
"Type","类型"
"Product Name","商品名称"
"Content","内容"
"Reply Content","回复内容"
"Action","操作"
"Edit","修改"
"Delete","删除"
"Are you sure?","你确定？"
"Approved","同意"
"Pending","待审核"
"Not Approved","不同意"
"Update Status","更新状态"
"Edit Message '%s'","修改留言'%s'"
"Message Information","留言内容"
"Product","商品"
"Guest","游客"
"Administrator","管理员"
"Posted By","留言人"
"Add New Message","发表新留言"
"Save Message","保存留言"
"New Message Information","新留言内容"
"You're leaving messages:","您正在咨询:"
"Secure Image","验证码图片"
"Secure Code","验证码"
"Submit Messages","提交咨询"
"Secure Code Error!","验证码错误！"
"Only logined users can leave message.","只有登录用户才可以咨询!"
"Your message has been accepted for moderation.","您的咨询信息发表成功！"
"Enable","是否启用"
"Allow Guests to Write Message","是否允许游客咨询"
"Allow Secure Code","是否开启验证码"
"Allow Verify","是否需要审核"
"Product Leave Message","商品咨询"
"Unable to post the message.","您的咨询信息发表失败!"
"The message was removed or does not exist.","咨询信息已被删除或者不存在！"
"The message has been saved.","咨询信息保存成功！"
"The message has been deleted","咨询信息删除成功！"
"Please select message(s).","请选择咨询信息!"
"Total of %d record(s) have been updated.","共 %d 条记录被更新！"
"An error occurred while updating the selected message(s).","更新记录出错！"
"Total of %d record(s) have been deleted.","共 %d 条记录被删除!"
"An error occurred while deleting the selected message(s).","删除记录出错！"
"The message has been saved.","咨询信息保存成功！"
